"","id","URM","URM2","day0","day","homeavoid.x","curraffect","e.excited","e.enthus","e.nerv","e.fear","e.hostile","e.uncertain","e.calm","e.peace","e.indiff","e.homesick","e.guilty","e.happy","e.shame","e.slug","e.sleepy","e.proud","neg.m.x","pos.m.x","er.accept","er.distractbusy","er.rumin","er.prob","er.socsupp","er.benfind","er.conseq","er.selfblame","er.otherblame","er.posfocus","er.beh","er.savor","er.perspect","er.distractonline","er.suppress1","er.suppress2","er.avoid","iof.day","WUcon_hrs","WUcon_mode","WUcon_mode_txt","WUcon_mode_3","WUcon_mode_4","WUcon_mode_5","WUcon_mode_5_txt","famcon","fambff_modes_1","fambff_modes_2","fambff_modes_3","fambff_modes_4","fambff_modes_5","fambff_modes_5_txt","famcon_me","me_famcon","interact","express","suppress","avoid.home","avoid.h_acad","avoid.h_soc","avoid.h_money","avoid.college","avoid.c_acad","avoid.c_soc","avoid.c_money","firstgen","gender","iof.day.y","neg.m.y","pos.m.y","homeavoid.y","er.avoid.y","filter_$","min","missincases","completecases","complete","iof.x.pc","duration.exp","duration","StartDate","EndDate","Date_analysis"
"376",54,0,0,4,5,1.75,8,3,4,1,1,1,1,4,4,1,1,1,4,1,1,2,2,1.125,3.5,2,3,2,3,3,3,4,1,3,2,3,4,4,3,4,2,1,2,3,1,NA,1,NA,NA,"",0.5,NA,NA,1,1,NA,"",0.25,0,1,3,5,2,3,1,1,1,2,1,3,0,1,1,2.125,2.5,1.5,1,0,1,0,1,0,0.166666666666667,1,485,"4/14/2017 17:22","4/14/2017 17:30","Friday, April 14th"
"377",54,0,0,5,6,1.5,3,2,1,4,1,1,4,1,2,2,4,1,2,1,4,5,2,2.625,1.66666666666667,2,2,4,3,2,4,5,2,1,2,1,3,4,1,4,3,1,2,3,1,NA,1,NA,NA,"",0.5,NA,NA,NA,1,NA,"",0.25,0,1,3,4,2,2,1,1,2,1,1,3,0,1,1,2.125,2.5,1.5,1,0,1,0,1,0,0.166666666666667,1,191,"4/15/2017 17:09","4/15/2017 17:12","Saturday, April 15th"
"378",54,0,0,6,7,2.75,4,2,1,5,4,1,4,2,2,4,3,1,3,3,5,5,1,3.375,1.83333333333333,3,4,3,2,1,4,3,2,1,3,2,2,4,5,2,3,2,2,1,1,NA,1,NA,NA,"",0.5,NA,NA,1,1,NA,"",0.5,0,1,4,4,3,4,1,3,4,5,2,3,0,1,1,2.125,2.5,1.5,1,0,1,0,1,0,0.166666666666667,1,534,"4/16/2017 17:10","4/16/2017 17:19","Sunday, April 16th"
"379",55,0,0,0,1,1.5,7,5,4,4,1,1,1,4,4,2,3,2,5,1,1,3,2,2,4,1,1,1,1,1,1,1,1,1,1,5,3,3,5,1,1,1,3,8,1,NA,1,1,NA,"",0.5,NA,NA,1,1,NA,"",0.2,0,1,1,4,2,2,1,1,1,2,2,1,0,1,3,2,4,1.5,1,1,1,0,1,1,-0.142857142857143,1,250,"4/10/2017 19:37","4/10/2017 19:42","Monday, April 10th"
"380",55,0,0,1,2,1.25,4,3,3,4,4,1,4,2,2,2,1,2,4,1,1,3,2,2.125,2.66666666666667,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,8,1,1,1,NA,NA,"",0.5,NA,NA,1,1,NA,"",0.2,0,1,1,3,2,1,1,1,1,2,1,1,0,1,3,2,4,1.5,1,0,1,0,1,1,-0.142857142857143,1,178,"4/12/2017 11:46","4/12/2017 11:49","Tuesday, April 11th"
"381",55,0,0,2,3,1,4,3,4,4,3,1,2,2,1,1,2,1,4,1,2,3,2,2.125,2.66666666666667,2,2,1,2,2,1,2,1,1,2,3,1,2,3,2,4,2,4,5,1,NA,1,NA,NA,"",0.5,NA,NA,1,1,NA,"",0.2,0,1,1,4,1,1,1,1,2,2,1,1,0,1,3,2,4,1.5,1,0,1,0,1,1,0.857142857142857,1,148,"4/12/2017 17:04","4/12/2017 17:06","Wednesday, April 12th"
"382",55,0,0,3,4,1,4,4,4,3,2,2,3,3,1,3,1,3,4,3,2,2,4,2.25,3.33333333333333,4,3,2,2,1,1,1,1,2,1,3,1,3,3,2,1,1,3,4,1,NA,1,1,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,3,2,1,1,1,1,2,1,1,1,0,1,3,2,4,1.5,1,0,1,0,1,1,-0.142857142857143,1,264,"4/13/2017 18:40","4/13/2017 18:44","Thursday, April 13th"
"383",55,0,0,4,5,1.75,7,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2.66666666666667,1,1,1,1,4,1,1,1,1,4,4,4,1,4,1,1,1,2,7,1,1,1,1,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,4,1,1,1,1,1,1,1,0,1,3,2,4,1.5,1,0,1,0,1,1,-1.14285714285714,0,89,"4/14/2017 18:44","4/14/2017 18:46","Friday, April 14th"
"384",55,0,0,5,6,1,6,3,2,2,1,1,2,2,2,1,1,2,4,2,4,3,1,2,2.33333333333333,1,3,1,1,1,1,1,1,1,2,4,2,3,2,3,1,1,4,5,1,1,1,NA,NA,"",0.5,NA,NA,1,NA,NA,"",0,0.2,1,1,3,1,1,1,1,2,1,1,1,0,1,3,2,4,1.5,1,0,1,0,1,1,0.857142857142857,1,208,"4/15/2017 17:23","4/15/2017 17:26","Saturday, April 15th"
"385",55,0,0,6,7,1.25,4,1,1,3,1,1,4,1,1,1,2,4,1,2,5,5,1,2.875,1,3,1,3,2,1,1,1,3,1,2,1,1,1,2,1,2,1,3,3,1,1,1,NA,NA,"",0.5,NA,NA,1,1,NA,"",0.2,0,1,3,2,2,1,1,1,2,1,3,1,0,1,3,2,4,1.5,1,0,1,0,1,1,-0.142857142857143,1,148,"4/16/2017 17:07","4/16/2017 17:09","Sunday, April 16th"
"386",56,0,0,0,1,1.5,7,4,4,1,1,1,3,3,1,3,2,1,3,1,2,3,4,1.5,3.16666666666667,3,1,3,3,4,4,1,1,1,5,3,4,5,3,1,1,1,5,4,1,NA,1,NA,NA,"",2,NA,1,NA,NA,NA,"",1,2,1,2,5,2,1,2,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,1,1,0,1,1,0,1,314,"4/10/2017 18:02","4/10/2017 18:07","Monday, April 10th"
"387",56,0,0,1,2,1.25,4,3,4,3,2,1,3,2,2,1,2,1,4,1,2,2,5,1.75,3.33333333333333,3,2,3,3,4,5,3,1,1,5,4,4,3,3,1,1,1,5,1,1,NA,NA,NA,NA,"",0.5,NA,NA,NA,1,NA,"",0,0.5,1,2,5,1,1,2,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,0,189773,"4/11/2017 17:35","4/13/2017 22:18","Tuesday, April 11th"
"388",56,0,0,2,3,1.25,6,3,1,3,1,1,5,4,1,3,1,1,2,2,3,2,1,1.75,2,3,3,4,2,2,2,2,1,1,2,3,1,3,2,4,4,3,5,1,NA,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,3,3,1,1,2,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,1,158,"4/12/2017 17:27","4/12/2017 17:30","Wednesday, April 12th"
"389",56,0,0,3,4,1.25,3,2,2,2,1,1,2,2,1,3,2,1,3,1,4,4,1,2,1.83333333333333,3,2,2,3,3,1,1,1,1,3,3,3,2,2,1,2,3,5,4,1,NA,NA,NA,NA,"",3,1,NA,NA,NA,NA,"",2,2,1,2,5,1,1,2,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,1,201,"4/13/2017 22:18","4/13/2017 22:21","Thursday, April 13th"
"390",56,0,0,4,5,1,NA,2,1,2,1,1,4,3,1,3,1,1,2,1,2,2,1,1.375,1.66666666666667,2,3,3,3,2,1,3,1,1,3,1,1,3,2,1,2,1,5,1,1,NA,1,NA,NA,"",0.5,NA,NA,NA,1,NA,"",0.5,0,1,3,5,1,1,1,1,2,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,1,157,"4/14/2017 17:00","4/14/2017 17:03","Friday, April 14th"
"391",56,0,0,5,6,1,7,3,2,2,1,1,2,2,2,3,3,1,3,1,2,2,1,1.625,2.16666666666667,2,2,2,1,3,2,2,1,1,3,3,2,3,2,1,1,1,5,3,1,NA,NA,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,2,5,1,1,1,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,1,137,"4/15/2017 18:37","4/15/2017 18:39","Saturday, April 15th"
"392",56,0,0,6,7,1,NA,2,2,2,1,1,1,2,2,2,2,1,3,1,2,2,2,1.5,2.16666666666667,1,3,2,2,3,2,1,1,1,3,1,3,3,2,2,1,1,5,0,NA,NA,NA,NA,NA,"",0.5,NA,NA,NA,1,NA,"",0,0.5,1,4,3,1,1,1,1,1,1,1,1,0,1,5,1.5,3.16666666666667,1.5,1,0,1,0,1,1,0,1,425,"4/16/2017 17:17","4/16/2017 17:24","Sunday, April 16th"
"393",57,1,1,0,1,1.5,NA,1,1,3,1,1,4,2,2,2,3,1,2,1,4,4,1,2.25,1.5,1,1,1,3,2,1,1,1,1,2,1,1,3,2,4,1,3,5,2,1,NA,NA,NA,NA,"",3,NA,NA,1,1,NA,"",1.5,1.5,1,2,4,1,2,2,1,1,1,1,1,0,1,5,2.25,1.5,1.5,3,1,1,0,1,0,0.666666666666667,1,218,"4/10/2017 19:38","4/10/2017 19:42","Monday, April 10th"
"394",57,1,1,1,2,2,NA,1,1,1,1,1,1,4,2,4,2,1,2,1,2,3,1,1.5,1.83333333333333,1,2,1,2,4,1,1,1,1,4,2,1,2,3,5,1,1,4,2,1,NA,NA,NA,NA,"",2.5,NA,NA,1,NA,NA,"",1.25,1.25,1,3,2,1,3,3,1,1,1,1,2,0,1,5,2.25,1.5,1.5,3,0,1,0,1,0,-0.333333333333333,1,229,"4/11/2017 18:31","4/11/2017 18:35","Tuesday, April 11th"
"395",57,1,1,2,3,1.75,6,4,2,3,1,1,2,4,4,2,3,1,4,1,3,4,2,2.125,3.33333333333333,2,3,2,2,3,1,2,1,1,3,2,2,4,4,4,1,1,5,1,1,NA,NA,NA,NA,"",2,NA,NA,1,1,NA,"",1.25,1.25,1,2,4,1,3,2,1,1,1,1,1,0,1,5,2.25,1.5,1.5,3,0,1,0,1,0,0.666666666666667,1,550,"4/12/2017 18:09","4/12/2017 18:18","Wednesday, April 12th"
"396",57,1,1,3,4,1.5,1,1,1,3,1,1,3,4,3,2,3,1,2,1,2,2,1,1.75,2,1,2,1,3,2,1,1,1,1,5,1,1,3,3,3,1,1,3,2,1,NA,1,NA,NA,"",3,NA,NA,1,NA,NA,"",2,1,1,3,3,1,2,2,1,2,1,1,2,0,1,5,2.25,1.5,1.5,3,0,1,0,1,0,-1.33333333333333,1,563,"4/13/2017 17:20","4/13/2017 17:30","Thursday, April 13th"
"397",57,1,1,4,5,1.5,8,3,3,2,2,1,3,3,3,2,3,1,3,2,2,3,1,2,2.66666666666667,3,2,1,3,4,1,1,1,1,5,2,1,2,2,1,3,1,4,1,1,NA,NA,NA,NA,"",3,NA,1,1,1,NA,"",1,2,1,2,4,1,2,2,1,1,1,1,1,0,1,5,2.25,1.5,1.5,3,0,1,0,1,0,-0.333333333333333,0,638,"4/14/2017 17:42","4/14/2017 17:52","Friday, April 14th"
"398",57,1,1,5,6,NA,6,3,3,1,1,1,1,4,3,2,2,1,4,1,2,2,1,1.375,3,2,2,2,3,5,1,1,1,1,4,2,3,3,3,3,1,1,5,0,NA,NA,NA,NA,NA,"",5,1,NA,1,1,NA,"",3,2,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,1,5,2.25,1.5,1.5,3,0,1,0,1,0,0.666666666666667,1,277,"4/15/2017 17:41","4/15/2017 17:46","Saturday, April 15th"
"399",57,1,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,2.25,1.5,1.5,3,0,1,1,0,0,NA,NA,NA,"","",""
"400",58,0,0,0,1,2,NA,2,3,3,1,1,2,3,3,2,2,1,3,1,2,3,2,1.75,2.66666666666667,3,2,2,3,4,3,4,2,2,4,4,4,4,3,2,4,2,7,2,1,NA,NA,NA,NA,"",0.5,NA,NA,NA,1,NA,"",0,0.5,1,2,5,2,2,2,2,1,2,2,2,0,1,7,1.75,2.66666666666667,2,2,1,1,0,1,0,0,1,197,"4/10/2017 17:01","4/10/2017 17:04","Monday, April 10th"
"401",58,0,0,1,2,1,6,2,2,1,1,1,1,3,3,2,2,1,3,1,2,4,3,1.625,2.66666666666667,2,4,3,4,3,2,3,2,2,4,2,3,3,3,2,2,3,7,2,1,NA,NA,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,4,5,1,1,1,1,1,2,1,1,0,1,7,1.75,2.66666666666667,2,2,0,1,0,1,0,0,1,186,"4/11/2017 17:11","4/11/2017 17:14","Tuesday, April 11th"
